artiste,mouvement
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Jean-Jacques Henner,symbolisme
Félix Ziem,École de Barbizon
Henri Duhem,postimpressionnisme
Jean-Baptiste Carpeaux,romantisme
Pablo Picasso,cubisme
Pablo Picasso,surréalisme
Pablo Picasso,postimpressionnisme
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Marie Duhem,postimpressionnisme
Eugène Boudin,impressionnisme
Gustave Moreau,symbolisme
George Romney,rococo
Marguerite Peltzer,expressionnisme
Marguerite Peltzer,École de Paris
Simon Vouet,peinture baroque
Pierre Puvis de Chavannes,symbolisme
Eugène Delacroix,romantisme
Maurice Denis,symbolisme
Maurice Denis,École de Pont-Aven
Maurice Denis,Les Nabis
Lou Albert-Lasard,expressionnisme
André Derain,cubisme
André Derain,fauvisme
François Boucher,rococo
Raoul Dufy,fauvisme
Ernest Hébert,symbolisme
Camille Corot,réalisme
Camille Corot,École de Barbizon
Eugène Carrière,symbolisme
Gustave Courbet,réalisme
Marc Chagall,expressionnisme
Marc Chagall,modernisme catalan
Edmond Boissonnet,cubisme
Maximilien Luce,pointillisme
Henri Matisse,impressionnisme
Henri Matisse,fauvisme
Henri Matisse,postimpressionnisme
Henri Matisse,néo-impressionnisme
Henri Matisse,divisionnisme
Pierre Bonnard,Les Nabis
Ossip Zadkine,cubisme
Thomas Couture,académisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Ossip Zadkine,cubisme
Hubert Robert,préromantisme
Odilon Redon,symbolisme
Ary Scheffer,romantisme
Jean-Auguste-Dominique Ingres,romantisme
Jean-Auguste-Dominique Ingres,néo-classicisme
Claude Monet,impressionnisme
Émile Bernard,orientalisme
Émile Bernard,symbolisme
Émile Bernard,pointillisme
Émile Bernard,École de Pont-Aven
Émile Bernard,synthétisme
Émile Bernard,cloisonnisme
Émile Bernard,Les Nabis
Charles Le Brun,baroque
Charles Le Brun,classicisme
Théodore Chassériau,romantisme
Théodore Chassériau,orientalisme
