artiste,mouvement
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Jean-Jacques Henner,symbolisme
Félix Ziem,École de Barbizon
Henri Duhem,postimpressionnisme
Jean-Baptiste Carpeaux,romantisme
Pablo Picasso,cubisme
Pablo Picasso,surréalisme
Pablo Picasso,postimpressionnisme
Pierre Mignard,classicisme
Pierre Mignard,peinture baroque
Marie Duhem,postimpressionnisme
Eugène Boudin,impressionnisme
Gustave Moreau,symbolisme
George Romney,rococo
Marguerite Peltzer,expressionnisme
Marguerite Peltzer,École de Paris
Simon Vouet,peinture baroque
Pierre Puvis de Chavannes,symbolisme
Eugène Delacroix,romantisme
Maurice Denis,symbolisme
Maurice Denis,École de Pont-Aven
Maurice Denis,Les Nabis
Lou Albert-Lasard,expressionnisme
André Derain,fauvisme
André Derain,cubisme
François Boucher,rococo
Raoul Dufy,fauvisme
Ernest Hébert,symbolisme
Camille Corot,réalisme
Camille Corot,École de Barbizon
Eugène Carrière,symbolisme
Gustave Courbet,réalisme
Marc Chagall,expressionnisme
Marc Chagall,modernisme catalan
Edmond Boissonnet,cubisme
Maximilien Luce,pointillisme
Henri Matisse,impressionnisme
Henri Matisse,néo-impressionnisme
Henri Matisse,postimpressionnisme
Henri Matisse,fauvisme
Henri Matisse,divisionnisme
Pierre Bonnard,Les Nabis
Ossip Zadkine,cubisme
Thomas Couture,académisme
Auguste Rodin,art moderne
Auguste Rodin,symbolisme
Ossip Zadkine,cubisme
Hubert Robert,préromantisme
Odilon Redon,symbolisme
Ary Scheffer,romantisme
Jean-Auguste-Dominique Ingres,romantisme
Jean-Auguste-Dominique Ingres,néo-classicisme
Claude Monet,impressionnisme
Émile Bernard,orientalisme
Émile Bernard,symbolisme
Émile Bernard,École de Pont-Aven
Émile Bernard,Les Nabis
Émile Bernard,cloisonnisme
Émile Bernard,synthétisme
Émile Bernard,pointillisme
Charles Le Brun,baroque
Charles Le Brun,classicisme
Théodore Chassériau,romantisme
Théodore Chassériau,orientalisme
Fernand Léger,cubisme
Fernand Léger,modernisme
Jean-Honoré Fragonard,rococo
Charles-François Daubigny,École de Barbizon
Jean-François Millet,réalisme
Anne-Louis Girodet,romantisme
Anne-Louis Girodet,néo-classicisme
Philippe de Champaigne,classicisme
Philippe de Champaigne,peinture baroque
Théodore Géricault,romantisme
Albert Marquet,fauvisme
Edgar Degas,impressionnisme
