auteur_joconde,qid_wikidata,label_wikidata,naissance,deces,trouve
Rodin Auguste (1840-1917),Q30755,Auguste Rodin,1840.0,1917.0,True
Henner Jean-Jacques (1829-1905),Q665818,Jean-Jacques Henner,1829.0,1905.0,True
Ziem Félix (1821-1911),Q466224,Félix Ziem,1821.0,1911.0,True
David d'Angers Pierre-Jean (1788-1856),,,1788.0,1856.0,False
Bouchard Henri (1875-1960),Q2745340,Henri Bouchard,1875.0,1960.0,True
Nivet Ernest (1871-1948),Q3057101,Ernest Nivet,1871.0,1948.0,True
Frélaut Jean (1879-1954),Q3172152,Jean Frélaut,1879.0,1954.0,True
Lansyer Emmanuel (1835-1893),Q3052752,Emmanuel Lansyer,1835.0,1893.0,True
Duhem Henri (1860-1941),Q3131012,Henri Duhem,1860.0,1941.0,True
Dantan Jean Pierre (dit Dantan Jeune) (1800-1869),,,1800.0,1869.0,False
Charnay Armand (1844-1915),Q2861800,Armand Charnay,1844.0,1915.0,True
Marinot Maurice (1882-1960),Q3301121,Maurice Marinot,1882.0,1960.0,True
Baud Marcelle (1890-1987),Q59531862,Marcelle Baud,1890.0,1987.0,True
Carpeaux Jean-Baptiste (1827-1875),Q182791,Jean-Baptiste Carpeaux,1827.0,1875.0,True
Bodinier Guillaume (1795-1872),Q3119697,Guillaume Bodinier,1795.0,1872.0,True
Picasso Pablo (1881-1973),Q5593,Pablo Picasso,1881.0,1973.0,True
Barbey Jeanne-Marie (1876-1960),Q33100373,Jeanne-Marie Barbey,1876.0,1960.0,True
Mignard Pierre (1612-1695),Q360010,Pierre Mignard,1612.0,1695.0,True
Bouchor Joseph Félix (1853-1937),,,1853.0,1937.0,False
Barye Antoine-Louis (1795-1875),Q451489,Antoine-Louis Barye,1795.0,1875.0,True
Barathier Mathieu (1784-1867),Q22209540,Mathieu Barathier,1784.0,1867.0,True
Descombin Maxime (1909-2003),Q19338658,Maxime Descombin,1909.0,2003.0,True
Duhem Marie (1871-1918),Q3292492,Marie Duhem,1871.0,1918.0,True
Dubois Paul (1829-1905),Q2524533,Paul Dubois,1829.0,1905.0,True
Louttre Marc Antoine (1926-2012),,,1926.0,2012.0,False
Lenepveu Jules Eugène (1819-1898),,,1819.0,1898.0,False
Boudin Eugène (1824-1898),Q212600,Eugène Boudin,1824.0,1898.0,True
Ungerer Tomi (1931-2019),Q558085,Q558085,1931.0,2019.0,True
Moreau Gustave (1826-1898),Q203828,Gustave Moreau,1826.0,1898.0,True
Atelier de Pistillus,,,,,False
Coypel Antoine (1661-1722),Q585926,Antoine Coypel,1661.0,1722.0,True
Romney George (1734-1802),Q371280,George Romney,1734.0,1802.0,True
Peltzer Marguerite (1897-1991),Q107394816,Marguerite Peltzer,1897.0,1991.0,True
Vouet Simon (1590-1649),Q317920,Simon Vouet,1590.0,1649.0,True
TORRENTS Stanislas,Q3496708,Stanislas Torrents,1839.0,,True
Puvis de Chavannes Pierre (1824-1898),Q216873,Pierre Puvis de Chavannes,1824.0,1898.0,True
Pierre Paul-Henri (1833-1899),,,1833.0,1899.0,False
Chartran Théobald (1849-1907),Q922670,Théobald Chartran,1849.0,1907.0,True
Harpignies Henri (1819-1916),Q187496,Henri Harpignies,1819.0,1916.0,True
Dalou Aimé-Jules (1838-1902),,,1838.0,1902.0,False
Delacroix Eugène (1798-1863),Q33477,Eugène Delacroix,1798.0,1863.0,True
François Jean (1906-1980),Q3172093,Jean François,1582.0,1980.0,True
Estève Maurice (1904-2001),Q471318,Maurice Estève,1904.0,2001.0,True
Denis Maurice (1870-1943),Q440369,Maurice Denis,1870.0,1943.0,True
Fernand Dubois Émile (1869-1952),,,1869.0,1952.0,False
Le Saëc Thierry (1957-....),Q139099786,Q139099786,1957.0,,True
Chapu Henri (1833-1891),Q654201,Henri Chapu,1833.0,1891.0,True
SEEBACH Lothar von,Q3260017,Lothar von Seebach,1853.0,,True
Nemours Aurélie (1910-2005),Q243127,Aurélie Nemours,1910.0,2005.0,True
Albert-Lasard Lou (1885-1969),Q273197,Lou Albert-Lasard,1885.0,1969.0,True
Bourdelle Antoine (1861-1929),Q314350,Q314350,1861.0,1929.0,True
Réattu Jacques (1760-1833),Q3159943,Jacques Réattu,1760.0,1833.0,True
DERAIN André,Q156272,André Derain,1880.0,,True
Peter Victor (1840-1918),Q3557500,Victor Peter,1840.0,1918.0,True
Boucher François (1703-1770),Q180932,François Boucher,1703.0,1770.0,True
Dufy Raoul (1877-1953),Q45205,Raoul Dufy,1877.0,1953.0,True
Parceveaux Henri de (1903-1968),,,1903.0,1968.0,False
Hébert Ernest (1817-1908),Q1350125,Ernest Hébert,1817.0,1908.0,True
ALAUX Jean;LE ROMAIN (dit),Q1232255,Jean Alaux,1786.0,,True
PUECH Denys (sculpteur),Q3023427,Denys Puech,1854.0,,True
Blanche Jacques-Émile (1861-1942),Q936710,Jacques-Émile Blanche,1861.0,1942.0,True
Bégaud Pierre-Albert (1901-1956),Q3382769,Pierre-Albert Bégaud,1901.0,1956.0,True
Corot Camille (1796-1875),Q148475,Camille Corot,1796.0,1875.0,True
Leroux Louis-Hector (1829-1900),,,1829.0,1900.0,False
Gérard François (1770-1837),Q163543,François Gérard,1770.0,1837.0,True
Gill Madge (1882-1961),Q3275986,Madge Gill,1882.0,1961.0,True
David d'Angers (Pierre-Jean David dit) (1788-1856),,,1788.0,1856.0,False
Carrière Eugène (1849-1906),Q461464,Eugène Carrière,1849.0,1906.0,True
FRANQUE Jean Pierre,,,,,False
Courbet Gustave (1819-1877),Q34618,Gustave Courbet,1819.0,1877.0,True
Chagall Marc (1887-1985),Q93284,Marc Chagall,1887.0,1985.0,True
Milcendeau Charles (1872-1919),Q2959818,Charles Milcendeau,1872.0,1919.0,True
Boissonnet Edmond (1906-1995),Q3047756,Edmond Boissonnet,1906.0,1995.0,True
Luce Maximilien (1858-1941),Q545293,Maximilien Luce,1858.0,1941.0,True
Matisse Henri (1869-1954),Q5589,Henri Matisse,1869.0,1954.0,True
Charreton Victor (1864-1936),Q3557216,Victor Charreton,1864.0,1936.0,True
Princeteau René (1844?-1914),Q2144813,René Princeteau,1843.0,,True
